order_no,issued_date,revoked_date,closes_area,species,closure_type
PTN-2012-313,2012-09-10,2012-09-13,"Areas 12 to 29, except  13-3 to 13-12,  13-14, 13-17, 14-5, 14-8, 14-15, 16-16, ",Scallops,biotoxins
PTN-2012-314,2012-09-10,2012-09-14,"Area 23, except 23-3, 23-4, ptn 23-6, 23-8 and 23-10",ALL BM,biotoxins
PTN-2012-315,2012-09-10,2012-09-19,SA 23-3 and 23-8,"All BM except Manila, Littleneck, oysters, mussels, and VARNISH clams",biotoxins
PTN-2012-316,2012-09-10,2012-09-21,SA (portion) 23-6 (Useless Inlet),"All BM except Manila, littleneck, oysters and mussles",biotoxins
PTN-2012-317,2012-09-12,2012-09-21,"Area 25, except SA 25-4 and 25-5",ALL bm,biotoxins
PTN-2012-318,2012-09-12,2012-09-21,SA 25-4 and 25-5,"All BM except Manila, Littleneck, oysters, mussels",biotoxins
PTN-2012-319,2012-09-13,2012-09-14,"Areas 12 to 29, except  13-1, 13-3 to 13-12,  13-14, 13-17, 14-5, 14-8, 14-15, 16-16, ",Scallops,biotoxins
PTN-2012-320,2012-09-13,2012-10-19,SA 13-14,All BM except Geoducks and Horse Clams,biotoxins
PTN-2012-321,2012-09-13,2012-10-19,SA 13-1,"All BM except Gducks, hclams, pink scallops, spiny scallops",biotoxins
PTN-2012-322,2012-09-14,2013-04-25,Area 9,All BM,biotoxins
PTN-2012-323,2012-09-14,NA,Area 10,All BM,biotoxins
PTN-2012-324,2012-09-14,2013-01-04,"Area 16, except 16-1, 16-2, 16-5 to 16-9, 16-11 to 16-13, 16-16,  and 16-19 to 16-22",All BM,biotoxins
PTN-2012-325,2012-09-14,2013-05-22,"Subareas 16-5 to 16-9, 16-11 to 16-13 and 16-16",gducks & hclams,biotoxins
PTN-2012-326,2012-09-14,2013-01-04,"SA 16-1, 16-2 AND 16-22",All BM except Geoducks and Horse Clams,biotoxins
PTN-2012-327,2012-09-14,2012-10-03,"Saa 17-6, 17-10, 17-17 and 17-18","All BM, except Manila, Littleneck, oysters and mussels, geoducks & horseclams",biotoxins
PTN-2012-328,2012-09-14,2012-10-03,"SA 17-1 TO 17-5, 17-7 TO 17-9,  17-12 to 17-16, 17-19 to 17-21","All BM except Manila, littleneck, oysters and mussles",biotoxins
PTN-2012-329,2012-09-14,2012-10-03,"Areas 12 to 29, except  13-1, 13-3 to 13-12,  13-14, 13-17, 14-5, 14-8, 14-15, 16-16 and 17-20",Scallops,biotoxins
PTN-2012-330,2012-09-14,2012-09-19,"Area 23, except 23-3, ptn 23-6, 23-8 and 23-10",ALL BM,biotoxins
PTN-2012-331,2012-09-14,2012-10-26,SA  23-10,"All BM except Manila, Littleneck, oysters, mussels",biotoxins
PTN-2012-332,2012-09-19,2012-09-21,"Area 23, except ptn 23-6 (Useless Inlet), 23-8 and 23-10",ALL BM,biotoxins
PTN-2012-333,2012-09-19,2012-09-21,SA 23-8,"All BM except Manila, Littleneck, oysters, mussels, and VARNISH clams",biotoxins
PTN-2012-334,2012-09-19,2012-10-26,Area 24,All BM,biotoxins
PTN-2012-335,2012-09-20,2012-09-28,"Area 1, except SA 1-2 to 1-4 and 1-7",All BM ,biotoxins
PTN-2012-336,2012-09-21,2012-09-25,"Area 2, except SA 2-49 to 2-60 and 2-85 to 2-91",All B.M.,biotoxins
PTN-2012-337,2012-09-21,2012-10-15,Area 15 except  SA 15-1 to 15-3 and 15-5,All B.M.,biotoxins
PTN-2012-338,2012-09-21,2013-01-08,SA 15-1 TO 15-3,"All BM except Manila, Littleneck, oysters, mussels, Geoducks and Horseclams",biotoxins
PTN-2012-339,2012-09-21,2012-10-12,Area 25,ALL bm,biotoxins
PTN-2012-340,2012-09-21,2012-10-26,"Area 23, except  23-10",ALL BM,biotoxins
PTN-2012-341,2012-09-25,2012-09-28,"Area 2, except SA 2-1, 2-49 to 2-60 and 2-85 to 2-91",All B.M.,biotoxins
PTN-2012-342,2012-09-25,2012-10-04,SA 2-1,All BM except oyseters and scallops,biotoxins
PTN-2012-343,2012-09-28,2012-10-04,"Area 1, except SA 1-2 and 1-7",All BM ,biotoxins
PTN-2012-344,2012-09-28,2012-10-04,SA 1-2 and 1-7,All BM except Geoducks and Horse Clams,biotoxins
PTN-2012-345,2012-09-28,2012-10-02,"Area 2, except SA 2-1, 2-49 to 2-60, 2-75 TO 2-77, and 2-75 to 2-91",All B.M.,biotoxins
PTN-2012-346,2012-09-28,2012-10-02,"SA 2-42 to 2-49 to 2-60, 2-75 TO 2-77, 2-79 to 2-91",All BM except Geoducks and Horse Clams,biotoxins
PTN-2012-347,2012-10-02,2012-10-04,"Area 2, except SA 2-1, 2-49 to 2-60, 2-63 to 2-66, 2-68 to 2-71, 2-75 TO 2-77, and 2-75 to 2-91",All B.M.,biotoxins
PTN-2012-348,2012-10-02,2012-10-04,"SA 2-42 to 2-49 to 2-60, 2-63 to 2-66, 2-68 to 2-71, 2-75 TO 2-77, 2-79 to 2-91",All BM except Geoducks and Horse Clams,biotoxins
PTN-2012-349,2012-10-03,2012-10-05,"Saa 17-6, 17-10, 17-17","All BM, except Manila, Littleneck, oysters and mussels, geoducks & horseclams",biotoxins
PTN-2012-350,2012-10-03,2012-10-05,"SA 17-1 TO 17-5, 17-7 TO 17-9,  17-13 to 17-16, ","All BM except Manila, littleneck, oysters and mussles",biotoxins
PTN-2012-351,2012-10-03,2012-10-05,SA 17-12 and 17-18 to 17-21,ALL BM,biotoxins
PTN-2012-352,2012-10-03,2012-10-11,"Areas 12 to 29, except  13-1, 13-3 to 13-12,  13-14, 13-17, 14-5, 14-8, 14-15, 16-16 ",Scallops,biotoxins
PTN-2012-353,2012-10-03,2012-10-19,"Area 18, except SA18-3 ",All BM,biotoxins
PTN-2012-354,2012-10-04,2012-11-22,Area 1,All BM ,biotoxins
PTN-2012-355,2012-10-04,2012-10-19,"Area 2, except SA 2-49 to 2-60, 2-63 to 2-66, 2-68 to 2-71, 2-75 TO 2-77, and 2-75 to 2-91",All B.M.,biotoxins
PTN-2012-356,2012-10-04,2012-10-26,"SA 2-42 to 2-49 to 2-60, 2-63 to 2-66, 2-68 to 2-71, 2-75 TO 2-77, 2-79 to 2-84",All BM except Geoducks and Horse Clams,biotoxins
PTN-2012-357,2012-10-04,2014-05-22,"Areas 101 to 110, 130 and 142",ALL BM,biotoxins
PTN-2012-358,2012-10-05,2012-10-11,"SA 17-9, 17-12 and 17-18 to 17-21 ptn 17-6",ALL BM,biotoxins
PTN-2012-359,2012-10-05,2012-10-11,"SA ptn 17-6, 17-10, 17-17","All BM, except Manila, Littleneck, oysters and mussels, geoducks & horseclams",biotoxins
PTN-2012-360,2012-10-05,2012-10-11,"SA 17-1 TO 17-5, 17-7, 17-8,  17-13 to 17-16, ","All BM except Manila, littleneck, oysters and mussles",biotoxins
PTN-2012-361,2012-10-05,2012-10-10,AREA 20,ALL BM,biotoxins
PTN-2012-362,2012-10-05,2012-11-21,"Area 19,except SA 19-5 and 19-12",All B.M.,biotoxins
PTN-2012-363,2012-10-05,2013-03-01,SA 19-12,"All BM except Manila, littleneck, oysters and mussles",biotoxins
PTN-2012-364,2012-10-10,2013-02-26,"Area 20, except SA 20-6 and 20-7",ALL BM,biotoxins
PTN-2012-365,2012-10-11,2012-10-19,"Area 13, except SA 13-1, 13-3 to 13-15",All BM,biotoxins
PTN-2012-366,2012-10-11,2012-10-19,SA 13-13 AND 13-15,"All BM except manila, littleneck, oysters, mussels, gducks & hclams",biotoxins
PTN-2012-367,2012-10-11,2012-10-12,"Areas 12 to 29, except  13-1, 13-3 to 13-12,  13-14, 14-5, 14-8, 14-15, 16-16 ",Scallops,biotoxins
PTN-2012-368,2012-10-11,NA,"SA 17-1 TO 17-4, 17-7, 17-8,  17-13 to 17-16, ","All BM except Manila, littleneck, oysters and mussles",biotoxins
PTN-2012-369,2012-10-11,2012-10-12,"SA 17-9, 17-12 and 17-18, 17-19, 17-21",ALL BM,biotoxins
PTN-2012-370,2012-10-11,2012-10-12,SA 17-10 AND 17-17,"All BM, except Manila, Littleneck, oysters and mussels, geoducks & horseclams",biotoxins
PTN-2012-371,2012-10-11,2012-11-22,SA 13-16 and 13-17,All B.M.,biotoxins
PSN-2012-372,2012-10-12,NA,Emergency clsoure 14.jj Komas Bluff,All B.M.,sanitary closure
PTN-2012-373,2012-10-12,2012-10-12,"Area 17, except SA 17-9, 17-10, 17-12, 17-17 TO 17-19 AND 17-21",ALL BM,biotoxins
PTN-2012-374,2012-10-12,2012-10-17,"SA 17-10, 17-17, 17-18","All BM, except Manila, Littleneck, oysters and mussels, geoducks & horseclams",biotoxins
PTN-2012-375,2012-10-12,2012-10-17,"SA 17-12 TO 17-16, 17-19 to 17-21","All BM except Manila, littleneck, oysters and mussles",biotoxins
PTN-2012-376,2012-10-12,2012-10-17,SA 17-1 TO 17-9,ALL BM,biotoxins
PTN-2012-377,2012-10-12,2012-10-24,"Area 25, EXCEPT FOR 25-6",ALL bm,biotoxins
PTN-2012-378,2012-10-12,2012-10-24,SA 25-6,"All BM except Manila, littleneck, oysters and mussles",biotoxins
PTN-2012-379,2012-10-12,2012-10-17,"Areas 12 to 29, except  13-1, 13-3 to 13-12,  13-14, 14-5, 14-8, 14-15, 16-16  AND 17-20",Scallops,biotoxins
PSN-2012-380,2012-10-14,2012-10-29,Close Baynes Sound Section C (via email - no hard copy),All BM,sanitary closure
PSN-2012-381,2012-10-14,2012-10-26,Close Baynes Sound Section B,All BM,sanitary closure
PSN-2012-382,2012-10-15,2012-10-22,"SA 14-5, 17-13, 17-15, 17-16, 17-18, 17-19, 17-20, 23-10 and 25-6.",All BM,sanitary closure
PSN-2012-383,2012-10-15,2012-12-13,"Area 15 except  15-1, 15-3 AND PTN OF 15-5 WEST REDONDA ISLAND",All B.M.,sanitary closure
PSN-2012-384,2012-10-15,2012-12-17," SA 15-5, EXCEPT WEST REDONDA ISLAND","All BM except Manila, Littleneck, oysters, mussels",sanitary closure
PTN-2012-385,2012-10-17,2012-10-19,"Areas 12 to 29, except  13-1, 13-3 to 13-12,  13-14, 14-5, 14-8, 14-15, 16-16",Scallops,biotoxins
ptn-2012-386,2012-10-17,2012-10-31,"SA 17-1 TO 17-9, 17-12, 17-18 to 17-21",ALL BM,biotoxins
ptn-2012-387,2012-10-17,2013-04-26,"SA 17-10, 17-17","All BM, except Manila, Littleneck, oysters and mussels, geoducks & horseclams",biotoxins
ptn-2012-388,2012-10-17,2012-10-31,SA 17-13 TO 17-16,"All BM except Manila, littleneck, oysters and mussles",biotoxins
PTN-2012-389,2012-10-19,2012-10-26,"Area 2, except SA 2-1, 2-49 to 2-60, 2-63 to 2-66, 2-68 to 2-71, 2-75 TO 2-77, and 2-75 to 2-91",All B.M.,biotoxins
PTN-2012-390,2012-10-19,2013-01-04,SA 2-1,All BM except oyseters and scallops,biotoxins
PTN-2012-391,2012-10-19,2013-01-31,"Areas 12 to 29, except  13-3 to 13-11, 14-5, 14-8, 14-15, 16-16",Scallops,biotoxins
PTN-2012-392,2012-10-19,2012-11-22,"Area 13, except SA 13-3 to 13-11, 13-15",Al B.M,biotoxins
PTN-2012-393,2012-10-19,2013-06-05,SA 13-15,"All BM, except Manila, Littleneck, oysters and mussels, geoducks & horseclams",biotoxins
PTN-2012-394,2012-10-19,2012-10-26,Area 18,All B.M.,biotoxins
PTN-2012-395,2012-10-24,2012-11-19,Area 25,ALL bm,biotoxins
PTN-2012-396,2012-10-26,2012-11-16,"Area 18, except 18-3",All B.M.,biotoxins
PTN-2012-397,2012-10-26,2012-11-16,Subarea 18-3,"All BM except Manila, littleneck, oysters and mussles",biotoxins
PTN-2012-398,2012-10-26,2012-10-31,"Area 23, except  23-10 and ptn 23-6 (useless inlet)",ALL BM,biotoxins
PTN-2012-399,2012-10-26,2012-10-31,SA 23-10 and ptn 23-6 (not Useless inlet),"All BM except Manila, littleneck, oysters and mussles",biotoxins
PTN-2012-400,2012-10-26,2012-11-05,Area 24 except 24-9,All BM,biotoxins
PTN-2012-401,2012-10-26,2012-11-16,SA 24-9,"All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2012-402,2012-10-26,2012-11-29,"Area 2, except SA 2-1, 2-49 to 2-60, 2-63 to 2-66, 2-68 to 2-71",All B.M.,biotoxins
PTN-2012-403,2012-10-26,2012-11-29,"SA  2-49 to 2-60, 2-63 to 2-66, 2-68 to 2-71,",All BM except Geoducks and Horse Clams,biotoxins
PTN-2012-404,2012-10-31,2012-11-09,"SA 17-1 TO 17-3, 17-8, 17-9, 17-12, 17-18 to 17-21",ALL BM,biotoxins
PTN-2012-405,2012-10-31,2012-11-09,SA 17-4 TO 17-7 AND 17-13 TO 17-16,"All BM except Manila, littleneck, oysters and mussles",biotoxins
PTN-2012-406,2012-10-31,2012-11-16,"Area 23, except  Ptn 23-6 (useless inlet)",ALL BM,biotoxins
PTN-2012-407,2012-10-31,2012-11-07,SA ptn 23-6 (Useless inlet),"All BM except Manila, littleneck, oysters and mussles, ",biotoxins
PTN-2012-408,2012-11-05,2012-11-16,Area 24 except 24-6 and 24-9,All BM,biotoxins
PTN-2012-409,2012-11-05,2012-11-16,SA 24-6,All BM except Geoducks and Horse Clams,biotoxins
PSN-2012-410,2012-11-06,2012-11-13,"SA 14-1, 14-7, 17-17, 17-16, 17-19, 17-20, 18-3 and ptn 14-8",All BM,sanitary closure
PSN-2012-411,2012-11-06,2012-11-13,Baynes Sound B and C,All BM,sanitary closure
PTN-2012-412,2012-11-07,2013-01-24,SA 23-6 except ptn 23-6 (Useless inlet),"All BM except Manila, littleneck, oysters and mussles and varnish",biotoxins
PTN-2012-413,2012-11-09,2012-11-16,"SA 17-1 TO 17-3, 17-8, 17-12, 17-18 to 17-21",ALL BM,biotoxins
PTN-2012-414,2012-11-09,2012-11-16,"SA 17-4 TO 17-7, 17-9, AND 17-13 TO 17-16","All BM except Manila, littleneck, oysters and mussles",biotoxins
PSN-2012-415,2012-11-13,2012-11-16,Baynes Sound C,All BM,sanitary closure
PSN-2012-416,2012-11-13,2012-11-16,Remove portion of SA 14-8.,All BM,sanitary closure
PSN-2012-417,2012-11-16,2012-11-16,Remove SA 17-19 AND 17-20,All BM,sanitary closure
PTN-2012-418,2012-11-16,2012-12-12,"Area 24 except 24-6, 24-8 and 24-9",All BM,biotoxins
PTN-2012-419,2012-11-16,2012-12-12,SA 24-6 and 24-8,All BM except Geoducks and Horse Clams,biotoxins
PTN-2012-420,2012-11-16,2013-02-07,SA 24-9,"All BM except Manila, littleneck, oysters and mussels, gducks & hclams",biotoxins
PTN-2012-421,2012-11-16,2012-11-28,"Area 23, except  23-6",ALL BM,biotoxins
PTN-2012-422,2012-11-16,2012-11-28,Ptn of 23-6 (useless inlet) ,"All BM except Manila, littleneck, oysters and mussles",biotoxins
PTN-2012-423,2012-11-16,2013-03-01,"Area 18, except 18-3 and 18-7",All B.M.,biotoxins
PTN-2012-424,2012-11-16,2013-03-01,Subarea 18-3 and 18-7,"All BM except Manila, littleneck, oysters and mussles",biotoxins
PTN-2012-425,2012-11-16,2012-12-14,"SA 17-1 TO 17-3, 17-8, ",ALL BM,biotoxins
PTN-2012-426,2012-11-16,2012-12-14,"SA 17-4 TO 17-7, 17-9, AND 17-12 TO 17-16 and 17-18 to 17-21","All BM except Manila, littleneck, oysters and mussles",biotoxins
PSN-2012-427,2012-11-16,2012-11-26,Remove 17-17,All B.M.,sanitary closure
PTN-2012-428,2012-11-19,2012-12-12,"Area 25, except SA 25-3 to 25-8 and 25-15",ALL bm,biotoxins
PTN-2012-429,2012-11-19,2012-12-12,SA 25-3 to 25-8 and 25-15,"All BM except manila, littleneck, oysters and mussels",biotoxins
PTN-2012-430,2012-11-21,2013-03-01,"Area 19,except SA 19-12",All B.M.,biotoxins
PTN-2012-431,2012-11-22,2013-01-31,Area 13 except SA 13-3 to 13-13 and 13-15 to 13-17,All B.M.,biotoxins
PTN-2012-432,2012-11-22,2012-12-06,SA13-12 and 13-13,"All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2012-433,2012-11-22,2012-12-06,SA 13-16 and 13-17,"All BM except Manila, littleneck, oysters, varnish and mussles",biotoxins
PTN-2012-434,2012-11-22,2013-01-16,Area 1 except SA 1-5,All BM,biotoxins
PTN-2012-435,2012-11-22,2013-01-16,SA 1-5,All BM except Razor Clams,biotoxins
PTN-2012-436,2012-11-23,2012-11-26,"Area 7, EXCEPT SA 7-12",All BM,biotoxins
PTN-2012-437,2012-11-23,2012-11-26,SA 7-12,"All BM except manila, littleneck, oysters and mussels",biotoxins
PTN-2012-438,2012-11-23,2013-01-09,"Area 12, except 12-26",All BM,biotoxins
PTN-2012-439,2012-11-23,2013-01-09,SA 12-26,"All BM, except butter clams and cockles",biotoxins
PTN-2012-440,2012-11-26,2012-11-29,"Area 7, EXCEPT SA 7-12 AND 7-17",All BM,biotoxins
PTN-2012-441,2012-11-26,2012-11-29,SA 7-12 AND 7-17,"All BM except manila, littleneck, oysters and mussels",biotoxins
PTN-2012-442,2012-11-28,2012-12-05,"Area 23, except  23-3 AND 23-6",ALL BM,biotoxins
PTN-2012-443,2012-11-28,2012-12-05,Ptn of SA 23-3 and 23-6 (useless inlet) ,"All BM except Manila, littleneck, oysters and mussles",biotoxins
PSN-2012-444,2012-11-29,2012-12-10,Close Baynes Sound Section C,All BM,sanitary closure
PSN-2012-445,2012-11-29,2012-12-10,Close Baynes Sound Section B,All BM,sanitary closure
PSN-2012-446,2012-11-29,2012-12-10,Close Baynes Sound Section A,All BM,sanitary closure
PTN-2012-447,2012-11-29,2012-12-04,"Area 2, except SA 2-1, 2-12, 2-13, 2-49 to 2-60, 2-63 to 2-66, 2-68 to 2-71",All B.M.,biotoxins
PTN-2012-448,2012-11-29,2012-12-04,"SA  2-12, 2-13, 2-49 to 2-60, 2-63 to 2-66, 2-68 to 2-71",All BM except Geoducks and Horse Clams,biotoxins
PTN-2012-449,2012-11-29,2012-12-12,Area 6 except portion of SA 6-9,All B.M.,biotoxins
PTN-2012-450,2012-11-29,2012-12-12,Ptn of SA 6-9,All BM except Geoducks and Horse Clams,biotoxins
PTN-2012-451,2012-11-29,2012-12-05,"Area 7, EXCEPT SA 7-12, 7-15 and 7-17",All BM,biotoxins
PTN-2012-452,2012-11-29,2012-12-05,"SA 7-12, 7-15 and 7-17","All BM except manila, littleneck, oysters and mussels",biotoxins
PSN-2012-453,2012-12-03,2014-05-21,"Area 4, new closure 4.4 (Metlakatla Bay and Venn Passage)",All BM,sanitary closure
PSN-2012-454,2012-12-03,2013-05-29,"Area 12, new closure 12.34 south of Thomas Point",All BM,sanitary closure
PSN-2012-455,2012-12-03,2014-02-17,"Area 15, new 15.9, revoke 15.19, revoke 15.21, new 15.26",All BM,sanitary closure
PSN-2012-456,2012-12-03,2013-05-29,"Area 16, new 16-.42; modify 16.21",All BM,sanitary closure
PSN-2012-457,2012-12-03,2014-05-21,Area 26 modify 26.5,All BM,sanitary closure
PSN-2012-458,2012-12-03,2012-12-06,"Area 27, new closure 27-12 Holberg Inlet",All BM,sanitary closure
PTN-2012-459,2012-12-04,2012-12-21,"Area 2, except SA 2-1, 2-12 to 2-15,",All B.M.,biotoxins
PTN-2012-460,2012-12-04,2012-12-21,SA  2-12 to 2-15,All BM except Geoducks and Horse Clams,biotoxins
PTN-2012-461,2012-12-05,2012-12-21,"Area 7, EXCEPT SA 7-15, 7-17, 7-21 AND 7-24",All BM,biotoxins
PTN-2012-462,2012-12-05,2012-12-21,"SA 7-15, 7-17, 7-21 and 7-24","All BM except manila, littleneck, oysters and mussels",biotoxins
PTN-2012-463,2012-12-05,2012-12-06,"Area 23, except SA 23-6",ALL BM,biotoxins
PTN-2012-464,2012-12-05,2012-12-06,Ptn of SA  23-6 (useless inlet) ,"All BM except Manila, littleneck, oysters and mussles",biotoxins
PSN-2012-465,2012-12-06,2014-05-21,"Area 27, revoke 27.8",All BM,sanitary closure
PTN-2012-466,2012-12-06,2013-05-30,"SA 13-12, 13-13, 13-16 and 13-17","All BM except Manila, littleneck, oysters, varnish and mussels",biotoxins
PTN-2012-467,2012-12-06,2012-12-21,"Area 23, except SA 23-6 and 23-10",ALL BM,biotoxins
PTN-2012-468,2012-12-06,2012-12-21,Ptn of SA  23-6 (useless inlet) and 23-10,"All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2012-469,2012-12-06,2012-12-11,"Area 26, except 26-3",All B.M.,biotoxins
PTN-2012-470,2012-12-06,2012-12-11,SA 26-3,"All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2012-471,2012-12-11,2013-07-04,Area 26,All B.M.,biotoxins
PTN-2012-472,2012-12-12,2013-01-11,"Area 5, EXCEPT SA 5-17",All BM,biotoxins
PTN-2012-473,2012-12-12,2013-01-11,SA 5-17,All BM except Geoducks and Horse Clams,biotoxins
PTN-2012-474,2012-12-12,2013-01-11,Area 6 except SA 6-9,All B.M.,biotoxins
PTN-2012-475,2012-12-12,2013-01-11,SA 6-9,All BM except Geoducks and Horse Clams,biotoxins
PTN-2012-476,2012-12-12,2013-01-04,"Area 24 except 24-6,and 24-9",All BM,biotoxins
PTN-2012-477,2012-12-12,2013-01-04,SA 24-6,All BM except Geoducks and Horse Clams,biotoxins
PTN-2012-478,2012-12-12,2013-02-28,"Area 25, except SA 25-3 to 25-8, 25-15, AND PTN OF 25-11 Little Espinosa Inlet",ALL BM,biotoxins
PTN-2012-479,2012-12-12,2013-02-28,"SA 25-3 to 25-8, 25-15 and ptn of 25-11 Little Espinosa Inlet","All BM except manila, littleneck, oysters and mussels",biotoxins
PTN-2012-480,2012-12-13,2012-12-17,Area 15 except  15-1 to 15-4 AND PTN OF 15-5 WEST REDONDA ISLAND,All B.M.,biotoxins
PTN-2012-481,2012-12-13,2012-12-17,SA 15-4,"All BM except manila, littleneck, oysters and mussels",biotoxins
PTN-2012-482,2012-12-14,NA,"SA 14-1, 14-2, 14-4",All BM,biotoxins
PTN-2012-483,2012-12-14,2013-02-21,SA 14-3 and 14-13,"All BM except Manila, Littleneck, oysters, mussels",biotoxins
PTN-2012-484,2012-12-14,2013-03-01,SA 17-1 TO 17-3,ALL BM,biotoxins
PTN-2012-485,2012-12-14,2013-03-01,"SA 17-4 TO 17--9, AND 17-12 TO 17-16 and 17-18 to 17-21","All BM except Manila, littleneck, oysters and mussles",biotoxins
PTN-2012-486,2012-12-17,2013-05-17,Area 15 except  15-1 to 15-5,All B.M.,biotoxins
PTN-2012-487,2012-12-17,2013-01-08,SA 15-4 and 15-5,"All BM except manila, littleneck, oysters and mussels",biotoxins
PSN-2012-488,2012-12-17,2013-01-04,Emergency closure 17.hh Aquaculture Lease Land File # 0236970  ,ALL BM,sanitary closure
PTN-2012-489,2012-12-21,2013-01-08,"Area 7, EXCEPT SA 7-17, 7-21 AND 7-24",All B.M.,biotoxins
PTN-2012-490,2012-12-21,2013-01-08,"SA 7-17, 7-21 and 7-24","All BM except manila, littleneck, oysters and mussels",biotoxins
PTN-2012-491,2012-12-21,2013-01-04,"Area 23, except SA 23-4, 23-6 and 23-10",ALL BM,biotoxins
PTN-2012-492,2012-12-21,2013-01-04,"SA 23-4, Ptn of SA  23-6 (useless inlet) and 23-10","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2012-493,2012-12-21,2012-12-31,"Area 2, except SA 2-1, 2-14 and 2-15,",All B.M.,biotoxins
PTN-2012-494,2012-12-21,2012-12-31,SA  2-14 and 2-15,All BM except Geoducks and Horse Clams,biotoxins
PTN-2012-495,2012-12-31,2013-01-04,"Area 2, except SA 2-1",All B.M.,biotoxins
PTN-2013-1,2013-01-04,2013-03-12,Area 2,All B.M.,biotoxins
PTN-2013-2,2013-01-04,2013-01-23,"Area 16, except 16-5 to 16-9, 16-11 to 16-13, 16-16,  and 16-19 to 16-22",All BM,biotoxins
PTN-2013-3,2013-01-04,2013-01-23,SA 16-22,All BM except Geoducks and Horse Clams,biotoxins
PTN-2013-4,2013-01-04,2013-01-21,"Area 23, except SA 23-3, 23-4, 23-6 and 23-10",ALL BM,biotoxins
PTN-2013-5,2013-01-04,2013-01-21,"SA 23-3, 23-4, Ptn of SA  23-6 (useless inlet) and 23-10","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2013-6,2013-01-04,2013-02-07,"Area 24 except 24-4, 24-6, 24-7 and 24-9",All BM,biotoxins
PTN-2013-7,2013-01-04,2013-02-07,"SA 24-4, 24-6 AND 24-7",All BM except Geoducks and Horse Clams,biotoxins
PTN-2013-8,2013-01-08,2013-01-09,"Area 7, except SA 7-17, 7-18, 7-21, 7-24, 7-25 and 7-27",All B.M.,biotoxins
PTN-2013-9,2013-01-08,2013-01-09,SA  7-21 and 7-24,"All BM except manila, littleneck, oysters and mussels",biotoxins
PTN-2013-10,2013-01-08,2013-02-22,SA 7-17,"All BM except Manila, Littleneck, oysters, mussels, Geoducks and Horseclams",biotoxins
PTN-2013-11,2013-01-08,2013-02-21,"SA 7-18, 7-25 and 7-27",All BM except Geoducks and Horse Clams,biotoxins
PTN-2013-12,2013-01-08,2013-06-03,SA 15-5,"All BM except manila, littleneck, oysters and mussels",biotoxins
PTN-2013-13,2013-01-08,2013-05-17,SA 15-1 TO 15-4,"All BM except Manila, Littleneck, oysters, mussels, Geoducks and Horseclams",biotoxins
PTN-2013-14,2013-01-09,2013-01-11,"Area 7, except SA 7-9, 7-17, 7-18, 7-25 and 7-27",All B.M.,biotoxins
PTN-2013-15,2013-01-09,2013-01-11,SA  7-9,"All BM except manila, littleneck, oysters and mussels",biotoxins
PTN-2013-16,2013-01-09,2013-01-11,Area 12,All BM,biotoxins
PTN-2013-17,2013-01-11,2014-02-05,Area 5,All BM,biotoxins
PTN-2013-18,2013-01-11,2013-05-21,Area 6,All B.M.,biotoxins
PTN-2013-19,2013-01-11,2013-01-21,"Area 7, except SA 7-9, 7-17, 7-18 7-22, 7-23, 7-25 and 7-27",All B.M.,biotoxins
PTN-2013-20,2013-01-11,2013-01-21,"SA  7-9, 7-22, 7-23","All BM except manila, littleneck, oysters and mussels",biotoxins
PTN-2013-21,2013-01-11,2013-02-11,"Area 12, except SA 12-26",All BM,biotoxins
PTN-2013-22,2013-01-11,2013-02-11,SA 12-26,All BM except butter clams and cockles,biotoxins
PTN-2013-23,2013-01-16,2013-01-24,Area 1,All BM,biotoxins
PTN-2013-24,2013-01-21,2013-02-21,"Area 7, except SA 7-17, 7-18, 7-25 and 7-27",All B.M.,biotoxins
PTN-2013-25,2013-01-21,2013-01-22,"Area 23, except SA 23-3, 23-4, 23-6, 23-8 and 23-10",ALL BM,biotoxins
PTN-2013-26,2013-01-21,2013-01-22,"SA 23-3, 23-4, Ptn of SA  23-6 (useless inlet), 23-8 and 23-10","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2013-27,2013-01-22,2013-01-31,"Area 23, except SA 23-3, 23-4, 23-6, 23-8, 23-9, 23-10 AND 23-11",ALL BM,biotoxins
PTN-2013-28,2013-01-22,2013-01-24,"SA 23-3, 23-4, Ptn of SA  23-6 (useless inlet), 23-8","All BM except Manila, littleneck, oysters and mussels",biotoxins
PTN-2013-29,2013-01-22,2013-01-31,sa 23-10,"All BM except Manila, Littleneck, oysters, mussels, Geoducks and Horseclams",biotoxins
PTN-2013-30,2013-01-22,2013-01-31,sa 23-9 and 23-11,All BM except Geoducks and Horse Clams,biotoxins
PTN-2013-31,2013-01-23,2013-02-27,"Area 16, except 16-1, 16-2, 16-5 to 16-9, 16-11 to 16-13, 16-16,  and 16-19 to 16-22",All BM,biotoxins
PTN-2013-32,2013-01-23,2013-02-27,"SA 16-1, 16-2 and 16-22",All BM except Geoducks and Horse Clams,biotoxins
