park,year,count,park_name,rgn_area,tot_area,rgn_id
French Beach Park,2011,129060,frenchbeachpark,545719.2749293,545719.2749293,5
Gabriola Sands Park,2011,13241,gabriolasandspark,59680.4931671299,59680.4931671299,6
Goldstream Park,2011,540973,goldstreampark,4788731.52848189,4788731.52848189,6
Gowlland Tod Park,2011,34042,gowllandtodpark,12813203.4213595,12813203.4213595,6
Ha'thayim Marine Park (aka Von Donop Marine Park),2011,NA,hathayimmarinepark,12916622.4120597,12916622.4120597,6
Helliwell Park,2011,51202,helliwellpark,28130888.1118606,28130888.1118606,6
Hemer Park,2011,15182,hemerpark,1096755.89778773,1096755.89778773,6
"Horne Lake
Caves Park",2011,9177,hornelakecavespark,1577716.23052645,1577716.23052645,6
Jedediah Island Marine Park,2011,6285,jedediahislandmarinepark,6035110.00549902,6035110.00549902,6
John Dean Park,2011,35438,johndeanpark,1749675.38587125,1749675.38587125,6
Juan De Fuca Park,2011,300596,juandefucapark,15820956.9684626,15820956.9684626,5
"Kennedy Lake
Park",2011,39423,kennedylakepark,2406077.82736557,2406077.82736557,5
Koksilah River Park,2011,NA,koksilahriverpark,1944564.64185608,2076297.83237753,6
Little Qualicum Falls Park,2011,259177,littlequalicumfallspark,4638961.73067469,4638961.73067469,6
Loveland Bay Park,2011,12970,lovelandbaypark,272176.704810947,272176.704810947,4
Macmillan Park,2011,540782,macmillanpark,3022182.33007833,3022182.33007833,6
Mansons Landing Park,2011,26211,mansonslandingpark,1036858.76313306,1036858.76313306,6
Maquinna Marine Park,2011,25197,maquinnamarinepark,25599798.0275614,25599798.0275614,5
Miracle Beach Park,2011,112474,miraclebeachpark,1363860.80401495,1363860.80401495,6
Mitlenatch Island Nature Park,2011,1814,mitlenatchislandnaturepark,1617187.23268115,1617187.23268115,6
Montague Harbour Marine Park,2011,87982,montagueharbourmarinepark,1019777.08416331,1019777.08416331,6
Morton Lake Park,2011,10884,mortonlakepark,738071.955651232,738071.955651232,4
Mount Maxwell Park,2011,38742,mountmaxwellpark,2341397.02538607,2341397.02538607,6
Newcastle Island Marine Park,2011,44901,newcastleislandmarinepark,3635987.60027038,3635987.60027038,6
Octopus Islands Marine Park,2011,NA,octopusislandsmarinepark,8622382.68495486,8622382.68495486,4
Petroglyph Park,2011,32963,petroglyphpark,17048.5362713262,17048.5362713262,6
Pirates Cove Marine Park,2011,7578,piratescovemarinepark,316701.526521343,316701.526521343,6
Raft Cove Park,2011,NA,raftcovepark,7868998.0818119,7868998.0818119,4
Rathtrevor Beach Park,2011,429796,rathtrevorbeachpark,3491404.33031584,3491404.33031584,6
Roberts Memorial Park,2011,28224,robertsmemorialpark,139280.474251091,139280.474251091,6
Rosewall Creek Park,2011,36054,rosewallcreekpark,655199.186368803,655199.186368803,6
Ruckle Park,2011,98178,rucklepark,5336719.37112203,5336719.37112203,6
Sandwell Park,2011,4970,sandwellpark,169919.098354179,169919.098354179,6
Smelt Bay Park,2011,12323,smeltbaypark,204384.91739187,204384.91739187,6
Sooke Potholes Park,2011,164528,sookepotholespark,62601.4624335589,62601.4624335589,5
Spider Lake Park,2011,48552,spiderlakepark,577856.882190879,577856.882190879,6
Sproat Lake Park,2011,183799,sproatlakepark,402649.303968133,402649.303968133,5
Squitty Bay Park,2011,2115,squittybaypark,493366.068009589,493366.068009589,6
Stamp River Park,2011,56120,stampriverpark,2860236.67330243,3463816.02731671,5
Strathcona Park,2011,125574,strathconapark,674290915.880177,2486682018.63985,5
Taylor Arm Park,2011,26098,taylorarmpark,150781.209891367,727883.754009974,5
Teakerne Arm Park,2011,NA,teakernearmpark,1378251.60697746,1378251.60697746,6
Tribune Bay Park,2011,58342,tribunebaypark,948749.141236842,948749.141236842,6
Wakes Cove Park,2011,480,wakescovepark,2042610.62744109,2042610.62744109,6
Wallace Island Marine Park,2011,9533,wallaceislandmarinepark,886652.154194804,886652.154194804,6
Walsh Cove Park,2011,NA,walshcovepark,908121.242960887,908121.242960887,6
"Broughton Archipelago
Marine Park",2012,NA,broughtonarchipelagomarinepark,119702311.758879,119702311.758879,4
Diana Lake Park,2012,9750,dianalakepark,2523626.82540361,2523626.82540361,1
"Kitimat River
Park",2012,1213,kitimatriverpark,568884.30007429,568884.30007429,1
Mount Seymour Park,2012,750548,mountseymourpark,35517411.229745,35517411.229745,6
Naikoon Park,2012,128904,naikoonpark,690122986.068831,690122986.068831,2
Prudhomme Lake Park,2012,21834,prudhommelakepark,91329.5589935469,91329.5589935469,1
Pure Lake Park,2012,27792,purelakepark,1418116.20159778,1418116.20159778,2
"Weewanie Hot
Springs Park",2012,3566,weewaniehotspringspark,353531.879106369,353531.879106369,1
Alice Lake Park,2012,310076,alicelakepark,4117248.62176708,4117248.62176708,6
"Copeland
Islands Marine Park",2012,NA,copelandislandsmarinepark,4101422.28695643,4101422.28695643,6
Cypress Park,2012,NA,cypresspark,28607607.4632212,28607607.4632212,6
"Desolation Sound Marine
Park",2012,40285,desolationsoundmarinepark,81397917.118145,81397917.118145,6
"Francis Point
Park",2012,18941,francispointpark,843097.806592267,843097.806592267,6
Garibaldi Park,2012,80013,garibaldipark,37405056.6115122,1886610271.37132,6
Inland Lake Park,2012,28863,inlandlakepark,26757193.3870752,27579100.4506013,6
Murrin Park,2012,103480,murrinpark,313301.432637416,313301.432637416,6
Okeover Arm,2012,NA,okeoverarmpark,30268.6685182268,30268.6685182268,6
Peace Arch Park,2012,109174,peacearchpark,68861.3531157505,68861.3531157505,6
Plumper Cove Marine Park,2012,10186,plumpercovemarinepark,656410.725061331,656410.725061331,6
Porpoise Bay Park,2012,123708,porpoisebaypark,589939.280725068,589939.280725068,6
Porteau Cove Park,2012,398662,porteaucovepark,579658.066692783,579658.066692783,6
Princess Louisa Marine Park,2012,19803,princesslouisamarinepark,9684911.81134113,9684911.81134113,6
Roberts Creek Park,2012,46673,robertscreekpark,396384.83589731,396384.83589731,6
Saltery Bay Park,2012,65692,salterybaypark,594255.465218217,594255.465218217,6
Sargeant Bay Park,2012,64411,sargeantbaypark,1461532.64195496,1461532.64195496,6
"Sechelt Inlets
Marine Park",2012,NA,secheltinletsmarineparkhalfwaybeachsite,36510.3503790665,36510.3503790665,6
"Sechelt Inlets
Marine Park",2012,NA,secheltinletsmarineparkkunechinpointsite,444312.394776923,444312.394776923,6
"Sechelt Inlets
Marine Park",2012,NA,secheltinletsmarineparkpiperpointsite,54827.3649532299,54827.3649532299,6
"Sechelt Inlets
Marine Park",2012,NA,secheltinletsmarineparkskaiakospointsite,5488.92141790502,5488.92141790502,6
"Sechelt Inlets
Marine Park",2012,NA,secheltinletsmarineparktzoonienarrowssite,808452.366196916,808452.366196916,6
"Sechelt Inlets
Marine Park",2012,NA,secheltinletsmarineparkthornhillsite,41836.2947006661,41836.2947006661,6
Shannon Falls Park,2012,219615,shannonfallspark,906214.392914996,906214.392914996,6
Skookumchuck Narrows Park,2012,26051,skookumchucknarrowspark,1411125.70403188,1411125.70403188,6
Smuggler Cove Marine Park,2012,16581,smugglercovemarinepark,1846004.54767561,1846004.54767561,6
"Stawamus Chief
Park",2012,202463,stawamuschiefpark,5304401.62011077,5304401.62011077,6
Tantalus Park,2012,NA,tantaluspark,47549360.3042622,114253130.397342,6
"Tetrahedron
Park",2012,1778,tetrahedronpark,60535446.3291914,60535446.3291914,6
"Hakai Conservation
Study Area",2012,NA,hakaiconservationstudyarea,5451687.40582871,5451687.40582871,3
Bamberton Park,2012,91072,bambertonpark,266586.505483485,266586.505483485,6
Bellhouse Park,2012,2426,bellhousepark,31054.1929862764,31054.1929862764,6
Bodega Ridge Park,2012,1569,bodegaridgepark,3967202.23623831,3967202.23623831,6
Boyle Point Park,2012,NA,boylepointpark,1879715.51018093,1879715.51018093,6
Burgoyne Bay Park,2012,7817,burgoynebaypark,5012461.52449696,5012461.52449696,6
Cape Scott Park,2012,9125,capescottpark,223096246.553779,223096246.553779,4
Carmanah Walbran Park,2012,1698,carmanahwalbranpark,153353240.246816,163644831.26361,5
