rgn_name,year,species,stockid,catch,rgn_catch,rgn_ass_catch_prop
Aristazabal Island,2010,dungeness_crab,NA,2855,588791.5203010635,NA
Pacific Offshore,2010,dungeness_crab,NA,0,34715.009999999995,NA
West Vancouver Island,2009,dungeness_crab,NA,1167895,14065268.216425687,NA
Strait of Georgia,2009,dungeness_crab,NA,3634943,18544835.568107594,NA
North Coast,2009,dungeness_crab,NA,1100408,5081576.212980492,NA
Haida Gwaii,2009,dungeness_crab,NA,4535683,14117849.720231751,NA
Central Coast,2009,dungeness_crab,NA,14945,5085115.877180197,NA
North Vancouver Island,2009,dungeness_crab,NA,625230,6671595.270052206,NA
Pacific Offshore,2009,dungeness_crab,NA,0,9615.72,NA
West Vancouver Island,2008,dungeness_crab,NA,1053820,14536209.030206352,NA
Strait of Georgia,2008,dungeness_crab,NA,3010823,12169803.32048056,NA
North Coast,2008,dungeness_crab,NA,2145295,9152255.537298894,NA
Haida Gwaii,2008,dungeness_crab,NA,7126769,11240284.73,NA
Central Coast,2008,dungeness_crab,NA,4333,4152124.140710771,NA
North Vancouver Island,2008,dungeness_crab,NA,600529,4130771.8948168396,NA
Aristazabal Island,2008,dungeness_crab,NA,0,1142380.2229039313,NA
Pacific Offshore,2008,dungeness_crab,NA,0,12437.29,NA
West Vancouver Island,2007,dungeness_crab,NA,613037,9911612.701645885,NA
Strait of Georgia,2007,dungeness_crab,NA,3050063,13400668.095038457,NA
North Coast,2007,dungeness_crab,NA,1920573,4634037.613483222,NA
Haida Gwaii,2007,dungeness_crab,NA,8045446,11755290.6,NA
Central Coast,2007,dungeness_crab,NA,4855,9862748.438992398,NA
North Vancouver Island,2007,dungeness_crab,NA,556119,4732867.0501448,NA
Aristazabal Island,2007,dungeness_crab,NA,3321,187168.9044411718,NA
Pacific Offshore,2007,dungeness_crab,NA,0,9217.08,NA
West Vancouver Island,2015,pacific_cod,PCODWCVANI,473862.3,23123694.650000002,0.020492499454450284
Strait of Georgia,2015,pacific_cod,NA,4059.21,16916651.25803751,NA
North Coast,2015,pacific_cod,PCODHS,158769.87,714184.1599999999,0.22230942506481804
Haida Gwaii,2015,pacific_cod,PCOD5AB,78699.47832990937,6495333.24,0.012116311114764201
Haida Gwaii,2015,pacific_cod,PCODHS,330282.67167009064,6495333.24,0.05084922658565408
Central Coast,2015,pacific_cod,PCOD5AB,335951.14176323573,5495709.58,0.0611297116182831
Central Coast,2015,pacific_cod,PCODHS,43120.29823676429,5495709.58,0.007846174840404192
