term,estimate,std.error,statistic,p.value,goal,n_obs,years,yr_lag,r_squared,aic,bic
(Intercept),-0.10894606782397546,0.02330790830903102,-4.674210417318425,1.0698636545264246e-5,HAB,96,12,4,0.8655034716494495,-205.33356806036073,-195.16038893128072
res_reg,0.06091665593893573,0.08662269194283026,0.7032413167110975,0.48378308844384066,HAB,96,12,4,0.8655034716494495,-205.33356806036073,-195.16038893128072
(Intercept),-0.08054684718517063,0.05673902806452708,-1.4196021668465637,0.1592968096988792,ICO,96,12,4,0.8309811794737985,-101.2560179921992,-91.08283886311919
res_reg,-0.032678592426150774,0.2066195702521954,-0.1581582634513468,0.8746986181659605,ICO,96,12,4,0.8309811794737985,-101.2560179921992,-91.08283886311919
(Intercept),0.07709928342140197,0.18694997856248047,0.41240594951785275,0.6812029283244607,MAR,84,12,4,0.9923121663688222,-66.86995893148325,-57.243081942426244
res_reg,-0.13596596101363242,0.26488551955636974,-0.5133008449889908,0.6092298681339732,MAR,84,12,4,0.9923121663688222,-66.86995893148325,-57.243081942426244
(Intercept),-0.09138846886107399,0.024824878658499208,-3.6813259036730734,4.018533580589484e-4,SAL,96,12,4,0.8504573371758332,-229.66811778016427,-219.49493865108425
res_reg,0.08084740239372121,0.09145498197683447,0.8840131029078311,0.3791256074992414,SAL,96,12,4,0.8504573371758332,-229.66811778016427,-219.49493865108425
(Intercept),-0.09468109577069826,0.021421156397830335,-4.419980602928054,2.8356792068135487e-5,SPP,96,12,4,0.8696925968387609,-205.8438302580886,-195.67065112900858
res_reg,0.13197951988283746,0.07980310082522118,1.6538144322473032,0.10176917660469288,SPP,96,12,4,0.8696925968387609,-205.8438302580886,-195.67065112900858
(Intercept),-0.08179839943111952,0.04518526715904095,-1.8102891622441761,0.07460514930395651,AO,77,11,5,0.8216984774241752,-42.301460309047016,-33.031507854901776
res_reg,-0.08132198771550221,0.12421017497184829,-0.6547127699798627,0.5148293059023317,AO,77,11,5,0.8216984774241752,-42.301460309047016,-33.031507854901776
(Intercept),-0.09151218390373103,0.08010655046475326,-1.142380783753711,0.2572444155047059,CPP,77,11,5,0.30062880683772825,53.027200626764625,62.297153080909865
res_reg,0.17156771482703034,0.19808263572020013,0.8661421239839356,0.3894140396041631,CPP,77,11,5,0.30062880683772825,53.027200626764625,62.297153080909865
(Intercept),-0.09151218390373103,0.08010655046475326,-1.142380783753711,0.2572444155047059,CSS,77,11,5,0.30062880683772825,53.027200626764625,62.297153080909865
res_reg,0.17156771482703034,0.19808263572020013,0.8661421239839356,0.3894140396041631,CSS,77,11,5,0.30062880683772825,53.027200626764625,62.297153080909865
(Intercept),-0.15321669649005293,0.02718928406744064,-5.635186866635117,2.5967460675507495e-7,FIS,88,11,5,0.42729773525345954,-118.4945960144642,-108.67720682945017
res_reg,0.1514437836633674,0.2823010269046003,0.5364620360185431,0.5931467590486649,FIS,88,11,5,0.42729773525345954,-118.4945960144642,-108.67720682945017
(Intercept),-0.13817233325862627,0.031457842938802265,-4.392301580481064,3.44605357290695e-5,HAB,88,11,5,0.8700151590398166,-177.72130491439214,-167.9039157293781
res_reg,0.07997092767810189,0.12112126978517437,0.6602550305156277,0.5110107538356679,HAB,88,11,5,0.8700151590398166,-177.72130491439214,-167.9039157293781
(Intercept),-0.0563070743357791,0.07636452050648182,-0.7373460078361882,0.4630963556493387,ICO,88,11,5,0.8494128825100289,-80.45210389245543,-70.63471470744139
res_reg,-0.2622906162441972,0.2905220609233932,-0.9028251259492467,0.3693633166402479,ICO,88,11,5,0.8494128825100289,-80.45210389245543,-70.63471470744139
(Intercept),-0.11134244102453214,0.03147861367953323,-3.5370821014562273,6.806041313900698e-4,SAL,88,11,5,0.8620649309700363,-205.42591261766376,-195.60852343264972
res_reg,0.07271330382165656,0.12064620135512667,0.6026986594266833,0.5484354103917339,SAL,88,11,5,0.8620649309700363,-205.42591261766376,-195.60852343264972
(Intercept),-0.10939714460379775,0.02470919007955501,-4.4273869055026465,3.0262957318289717e-5,SPP,88,11,5,0.8772324916250853,-175.62051955530268,-165.80313037028864
res_reg,0.10287735637060721,0.09553091342086703,1.0769012112066279,0.2848020056244682,SPP,88,11,5,0.8772324916250853,-175.62051955530268,-165.80313037028864
(Intercept),-0.11698733383825517,0.0512968216673954,-2.280596146809873,0.026021374981761113,AO,70,10,6,0.79282862495281,-47.85316345991962,-38.97513263921519
res_reg,-0.1116686994973906,0.14223705870474251,-0.7850886436648967,0.4353913915686354,AO,70,10,6,0.79282862495281,-47.85316345991962,-38.97513263921519
(Intercept),-0.13881780792954823,0.07325396853539422,-1.895020989374459,0.06275457097642967,CPP,70,10,6,0.3122718840423719,26.569770207130745,35.44780102783517
res_reg,0.19622896860991895,0.19651397350684868,0.9985496965338203,0.32189422699065956,CPP,70,10,6,0.3122718840423719,26.569770207130745,35.44780102783517
(Intercept),-0.13881780792954823,0.07325396853539422,-1.895020989374459,0.06275457097642967,CSS,70,10,6,0.3122718840423719,26.569770207130745,35.44780102783517
res_reg,0.19622896860991895,0.19651397350684868,0.9985496965338203,0.32189422699065956,CSS,70,10,6,0.3122718840423719,26.569770207130745,35.44780102783517
(Intercept),-0.19727569241661802,0.03073151361005564,-6.419328866120917,1.3379451929973558e-8,FIS,80,10,6,0.3773146490532141,-115.7712021186886,-106.34436681193024
res_reg,0.24704405707960558,0.3192140535781024,0.7739134737661576,0.44155132791852614,FIS,80,10,6,0.3773146490532141,-115.7712021186886,-106.34436681193024
(Intercept),-0.18186268465935226,0.03853944010391126,-4.718871996298034,1.1553877372892826e-5,HAB,80,10,6,0.8645240915705514,-163.6312914848155,-154.20445617805714
res_reg,0.14995317176681394,0.149561036458412,1.0026219082034176,0.31944820304683746,HAB,80,10,6,0.8645240915705514,-163.6312914848155,-154.20445617805714
(Intercept),-0.0879466486268591,0.08102659117942772,-1.085404770788239,0.28141407083368764,ICO,80,10,6,0.8556916493458703,-71.69881012438344,-62.27197481762508
res_reg,-0.2309156264162248,0.3128316823901582,-0.7381465478558239,0.4628582873444308,ICO,80,10,6,0.8556916493458703,-71.69881012438344,-62.27197481762508
(Intercept),-0.14982789180195552,0.03630894859116722,-4.126472883833484,9.888526025963046e-5,SAL,80,10,6,0.8552440633027713,-197.88908026472276,-188.4622449579644
res_reg,0.1268294349747474,0.14014681174335691,0.9049755281411833,0.36853903786886677,SAL,80,10,6,0.8552440633027713,-197.88908026472276,-188.4622449579644
(Intercept),-0.1427089939670928,0.024948869417013724,-5.720058555830723,2.3437537136532732e-7,SPP,80,10,6,0.8763285738696783,-163.71367650197928,-154.28684119522092
res_reg,0.1319407260096222,0.097478507560101,1.3535365827002768,0.18017776126176038,SPP,80,10,6,0.8763285738696783,-163.71367650197928,-154.28684119522092
